""
"TEC System Name:","AY.VAV1-10","","Descriptor:",""
"","AY.VAV1-10:ADDRESS","","","24",""," -N-     NONE"
"  2","AY.VAV1-10:APPLICATION","","","2523.0",""," -N-     NONE"
"  3","AY.VAV1-10:CHK STATUS","",""," -1.0",""," -N-     NONE"
"  4","AY.VAV1-10:ROOM TEMP","","","71.0","DEG F"," -N-     OVRD"
"  5","AY.VAV1-10:HEAT.COOL","","","COOL",""," -N-     OVRD"
"  6","AY.VAV1-10:DAY CLG STPT","","","75.0","DEG F"," -N-     NONE"
"  7","AY.VAV1-10:DAY HTG STPT","","","73.0","DEG F"," -N-     NONE"
"  8","AY.VAV1-10:NGT CLG STPT","","","82.0","DEG F"," -N-     NONE"
"  9","AY.VAV1-10:NGT HTG STPT","","","65.0","DEG F"," -N-     NONE"
" 10","AY.VAV1-10:CHK OUT","","","NO",""," -N-     NONE"
" 11","AY.VAV1-10:RM STPT MIN","","","55.0","DEG F"," -N-     NONE"
" 12","AY.VAV1-10:RM STPT MAX","","","90.0","DEG F"," -N-     NONE"
" 13","AY.VAV1-10:RM STPT DIAL","","","73.0","DEG F"," -N-     OVRD"
" 14","AY.VAV1-10:STPT DIAL","","","NO",""," -N-     NONE"
" 15","AY.VAV1-10:AI 3","","","61.0","DEG F"," -N-     NONE"
" 16","AY.VAV1-10:FLOW START","","","50.0","PCT"," -N-     NONE"
" 17","AY.VAV1-10:FLOW END","","","100.0","PCT"," -N-     NONE"
" 18","AY.VAV1-10:WALL SWITCH","","","NO",""," -N-     NONE"
" 19","AY.VAV1-10:DI OVRD SW","","","OFF",""," -N-     NONE"
" 20","AY.VAV1-10:OVRD TIME","","","0.0","HRS"," -N-     NONE"
" 21","AY.VAV1-10:NGT OVRD","","","NIGHT",""," -N-     NONE"
" 22","AY.VAV1-10:REHEAT START","","","24.8","PCT"," -N-     NONE"
" 23","AY.VAV1-10:REHEAT END","","","74.8","PCT"," -N-     NONE"
" 24","AY.VAV1-10:DI 4","","","OFF",""," -N-     NONE"
" 25","AY.VAV1-10:DI 3","","","OFF",""," -N-     NONE"
" 29","AY.VAV1-10:DAY.NGT","","","DAY",""," -N-     OPER"
" 31","AY.VAV1-10:CLG FLOW MIN","","","92.0"," CFM"," -N-     NONE"
" 32","AY.VAV1-10:CLG FLOW MAX","","","1300.0"," CFM"," -N-     NONE"
" 33","AY.VAV1-10:HTG FLOW MIN","","","100.0"," CFM"," -N-     NONE"
" 34","AY.VAV1-10:HTG FLOW MAX","","","1000.0"," CFM"," -N-     NONE"
" 35","AY.VAV1-10:AIR VOLUME","","","92.0"," CFM"," -N-     NONE"
" 36","AY.VAV1-10:FLOW COEFF","","","0.57",""," -N-     NONE"
" 40","AY.VAV1-10:AI 4","","","74.0","DEG F"," *F*     NONE"
" 41","AY.VAV1-10:DO 1","","","OFF",""," -N-     NONE"
" 42","AY.VAV1-10:DO 2","","","OFF",""," -N-     NONE"
" 43","AY.VAV1-10:DO 3","","","OFF",""," -N-     NONE"
" 44","AY.VAV1-10:DO 4","","","OFF",""," -N-     NONE"
" 48","AY.VAV1-10:DMPR COMD","","","31.2","PCT"," -N-     NONE"
" 49","AY.VAV1-10:DMPR POS","","","31.6","PCT"," -N-     NONE"
" 51","AY.VAV1-10:MTR1 TIMING","","","95.0","SEC"," -N-     NONE"
" 52","AY.VAV1-10:VLV COMD","","","0.0","PCT"," -N-     NONE"
" 53","AY.VAV1-10:VLV POS","","","0.0","PCT"," -N-     NONE"
" 55","AY.VAV1-10:MTR2 TIMING","","","130.0","SEC"," -N-     NONE"
